price,id,name,room_type,accommodates,zipcode,bedrooms,beds,latitude,longitude,cleaning_fee,bathrooms,review_scores_rating,neighbourhood_cleansed,number_of_reviews,security_deposit,host_listings_count,neighbourhood
185.0,27774442,Huge Industrial Chic Williamsburg 1 Bdrm w/rooftop,Entire home/apt,4,11249,1.0,1.0,40.72018183029149,-73.95729675444734,30.0,1.0,100.0,Williamsburg,4,0.0,1.0,Williamsburg
200.0,27775893,Midtown Studio,Entire home/apt,4,10001,1.0,3.0,40.74751711724036,-73.98679300867988,100.0,1.0,90.0,Midtown,2,0.0,1.0,Midtown
72.0,27779135,Brooklyn Apartment Unit 4 C,Private room,2,11215,1.0,1.0,40.67530669933276,-73.98349489074906,24.0,1.0,90.0,Park Slope,2,0.0,6.0,Park Slope
70.0,27781833,"Queens Apt (bedroom w balcony), close to subway",Private room,2,11373,1.0,1.0,40.736028588482974,-73.87845204249336,25.0,1.0,95.0,Elmhurst,11,100.0,3.0,Elmhurst
80.0,27782707,Entire 1 bedroom apartment,Entire home/apt,6,10463,1.0,3.0,40.8843740832484,-73.89691964849433,100.0,1.0,100.0,Kingsbridge,3,500.0,1.0,Kingsbridge
75.0,27783470,Cozy Room by the Brighton Beach,Private room,2,11235,1.0,1.0,40.57716987863875,-73.9683290378127,20.0,0.5,100.0,Brighton Beach,3,150.0,1.0,Brighton Beach
65.0,27783586,Williamsburg nest with private bathroom,Private room,2,11206,1.0,1.0,40.707548926503904,-73.9437719006455,30.0,1.0,100.0,Williamsburg,2,0.0,3.0,Williamsburg
175.0,27783614,Charming 1-bedroom with private outdoor space!,Entire home/apt,4,10024,1.0,1.0,40.782228882070044,-73.98400347714599,75.0,1.0,100.0,Upper West Side,1,0.0,1.0,Upper West Side
50.0,27784070,"Room 4, in Historic Victorian Guest House",Private room,2,11218,1.0,1.0,40.64408264827467,-73.96979227746645,25.0,2.5,100.0,Flatbush,3,200.0,6.0,Flatbush
75.0,27784090,Large Williamsburg room with private deck,Private room,2,11206,1.0,1.0,40.7093566636046,-73.94369975004949,30.0,1.0,95.0,Williamsburg,4,0.0,3.0,Williamsburg
120.0,27784556,"Beautiful, New Williamsburg apartment.",Private room,2,11211,1.0,1.0,40.71651624049596,-73.94808554286453,25.0,1.0,90.0,Williamsburg,6,400.0,1.0,Williamsburg
80.0,27785327,Bushwick Art collective bedroom A,Private room,2,11237,1.0,1.0,40.705627369747134,-73.91853349060409,0.0,1.0,100.0,Bushwick,2,0.0,3.0,Bushwick
90.0,27785672,Bushwick Art collective bedroom B,Private room,2,11237,1.0,1.0,40.70520498904111,-73.91887651975918,0.0,1.0,100.0,Bushwick,3,0.0,3.0,Bushwick
300.0,27785712,Spacious apartment steps from Time Square,Entire home/apt,4,10019,1.0,2.0,40.76231704697071,-73.9840027004663,99.0,1.0,100.0,Theater District,5,200.0,1.0,Theater District
60.0,27787143,Prospect Lefferts Gardens Getaway,Private room,2,11225,1.0,1.0,40.656383913639175,-73.95289938614741,0.0,1.5,94.0,Prospect-Lefferts Gardens,7,200.0,3.0,Prospect-Lefferts Gardens
49.0,27788122,Cozy Room right on Grand Concourse!,Private room,2,10452,1.0,1.0,40.83315210876695,-73.91947546454283,29.0,1.0,100.0,Concourse,9,0.0,1.0,Concourse
73.0,27788408,Bushwick palace: Crystalline dreams,Private room,3,11237,1.0,1.0,40.703969839868606,-73.91800687021528,75.0,2.0,100.0,Bushwick,2,150.0,4.0,Bushwick
120.0,27788826,Upper East Side 2 Room Studio Retreat,Entire home/apt,4,10021,0.0,1.0,40.768560402374405,-73.9536745801679,90.0,1.0,100.0,Upper East Side,3,0.0,1.0,Upper East Side
125.0,27795695,"Bright, Beautiful + Adorable in S. Williamsburg",Entire home/apt,5,11211,2.0,2.0,40.708775102388245,-73.96061354669862,40.0,1.0,95.0,Williamsburg,11,500.0,4.0,Williamsburg
55.0,27798930,Bouncin & Behavin in Bedstuy Brooklyn,Private room,2,11216,1.0,1.0,40.68501549581337,-73.9494467049872,10.0,1.0,100.0,Bedford-Stuyvesant,2,0.0,1.0,Bedford-Stuyvesant
125.0,27802400,Harlem Brownstone,Private room,3,10027,1.0,2.0,40.81016628067957,-73.94318709353792,40.0,1.5,80.0,Harlem,1,0.0,1.0,Harlem
495.0,27804081,4BR Penthouse w/ Garden Rooftop,Entire home/apt,10,10002,4.0,5.0,40.718595646418635,-73.98670946263353,200.0,2.0,100.0,Lower East Side,4,200.0,1.0,Lower East Side
250.0,27805652,Fort Greene Parlor,Entire home/apt,2,11238,1.0,1.0,40.68633809653297,-73.97091058071051,100.0,1.0,100.0,Fort Greene,2,150.0,2.0,Fort Greene
225.0,27807007,Salt Shack - A Houseboat in the Rockaways!,Entire home/apt,4,11692,1.0,2.0,40.59391406919481,-73.78824278015951,75.0,1.0,100.0,Arverne,6,500.0,1.0,Arverne
80.0,27807509,Beautiful 1 Bedroom apartment,Entire home/apt,4,11233,1.0,2.0,40.67082488770423,-73.92175419753137,0.0,1.0,93.0,Crown Heights,6,500.0,1.0,Crown Heights
150.0,27808210,Grand Street's Grandest,Private room,4,11249,2.0,2.0,40.715338000643776,-73.96198223889624,0.0,1.0,100.0,Williamsburg,2,0.0,1.0,Williamsburg
75.0,27809696,Large Room in Charming Central Williamsburg Apt,Private room,2,11249,0.0,1.0,40.7205761783997,-73.95946212107451,42.0,2.0,100.0,Williamsburg,1,0.0,2.0,Williamsburg
135.0,27810474,Sunny Third-Floor Fort Greene Apartment,Entire home/apt,3,11217,1.0,2.0,40.68911975957732,-73.97514360753867,30.0,1.0,100.0,Fort Greene,1,0.0,2.0,Fort Greene
498.0,27811127,Dream Home near High Line,Entire home/apt,10,10011,3.0,5.0,40.74707320410668,-74.00310312648983,190.0,2.0,100.0,Chelsea,4,500.0,2.0,Chelsea
49.0,27812071,Comfortable Guest Room in East Williamsburg,Private room,1,11237,1.0,1.0,40.70767232761529,-73.92307367637079,15.0,1.0,100.0,Bushwick,4,0.0,2.0,Bushwick
79.0,27813221,Spacious sunlit room in artsy Williamsburg apt,Private room,1,11211,1.0,1.0,40.71518801547272,-73.94759646264859,20.0,1.0,90.0,Williamsburg,2,100.0,1.0,Williamsburg
224.0,27814106,Glorious Harlem Sanctuary- 4 stps frm TIMES SQURE!,Entire home/apt,6,10026,2.0,1.0,40.80344508668706,-73.95138244815188,150.0,1.0,100.0,Harlem,6,0.0,2.0,Harlem
169.0,27816015,Queens Apartment,Entire home/apt,4,11377,2.0,2.0,40.748223768072975,-73.90591007090624,50.0,1.0,100.0,Woodside,2,0.0,1.0,Woodside
200.0,27823763,New 2 Bedroom with backyard and best location,Entire home/apt,6,11231,2.0,3.0,40.68574263675865,-73.9995846659754,125.0,1.0,96.0,Cobble Hill,5,350.0,1.0,Cobble Hill
65.0,27827834,Coziest room off the j,Private room,2,11221,1.0,1.0,40.68979972704011,-73.92588039915073,0.0,1.0,100.0,Bedford-Stuyvesant,7,0.0,1.0,Bedford-Stuyvesant
